studentId	Predmet	ECTS	Ocjene	PolozioDatum	Godina	SkolskaGodina	Semestar	Priznat	DatumUpisa	Spol	ZavrsenaSkolaId	SrednjaSkola	OpstinaRodjenja	GodinaZavrsetka	NacinStudiranja	OptinaPrebivalista	DatumDiplomiranja
16587	P-143	2	5		1	2018/2019	1	NE	11/14/2018	M	23	Mješovita srednja škola	Sarajevo - Centar	1999/2000	DL	Sarajevo - Centar	
16579	P-143	2	6	10/1/2018	1	2018/2019	1	DA	11/8/2018	M	1	Gimnazija	Sarajevo - Centar	2010/2011	DL	Sarajevo - Novi grad	9/6/2021
16584	P-143	2	7	10/1/2018	1	2018/2019	1	DA	11/9/2018	M	13	Tehnička	Zenica	2010/11	DL	Zenica	
16583	P-143	2	9	10/1/2018	1	2018/2019	1	DA	11/9/2018	M	13	Tehnička	Bugojno	2012/13	DL	Gornji Vakuf - Uskoplje	
16582	P-143	2	6	10/1/2018	1	2018/2019	1	DA	11/9/2018	M	3	Mašinska	Doboj	2002/03	DL	Sarajevo-Novo Sarajevo	
16581	P-143	2	6	10/1/2018	1	2018/2019	1	DA	11/9/2018	M	2	Elektrotehnička	Mostar	2008/09	DL	Mostar	
16580	P-143	2	6	10/1/2018	1	2018/2019	1	DA	11/9/2018	M	2	Elektrotehnička	Mostar	2012/13	DL	Mostar	
16576	P-143	2	7	10/1/2018	1	2018/2019	1	DA	11/7/2018	M	1	Gimnazija	Mostar	2006/2007	DL	Mostar	
16573	P-143	2	7	10/1/2018	1	2018/2019	1	DA	11/7/2018	Ž	1	Gimnazija	Mostar	2010/2011	DL	Bugojno	
16570	P-143	2	6	10/1/2018	1	2018/2019	1	DA	11/7/2018	M	13	Tehnička	Banovići	2008/09	DL	Mostar	
16572	P-143	2	8	10/1/2018	1	2018/2019	1	DA	11/7/2018	M	1	Gimnazija	Bihać	2010/2011	DL	Sarajevo - Centar	
16571	P-143	2	priznato	12/11/2017	1	2018/2019	1	DA	11/7/2018	M	10	Katolički školski centar	Zenica	2007/08	DL	Mostar	
16509	P-220	7	8	1/31/2019	1	2018/2019	1	NE	7/20/2018	M	1	Gimnazija	Bugojno	2017/18	Redovan samofinansirajući	Jajce	
16502	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/21/2018	M	1	Gimnazija	Sarajevo - Centar	2017/18	DL	Breza	
16503	P-220	7	9	1/31/2019	1	2018/2019	1	NE	7/21/2018	M	1	Gimnazija	Banja Luka	1999/2000	DL	Sarajevo - Novi grad	
16504	P-220	7	5		1	2018/2019	1	NE	7/21/2018	M	4	Medicinska	Zenica	2008/2009	DL	Zenica	
16505	P-220	7	5		1	2018/2019	1	NE	7/21/2018	M	6	Ekonomska	Travnik	2017/18	DL	Jajce	
16506	P-220	7	7	2/14/2019	1	2018/2019	1	NE	7/21/2018	M	1	Gimnazija	Travnik	2016/2017	Vanredan	Jajce	
16507	P-220	7	5		1	2018/2019	1	NE	7/21/2018	M	2	Elektrotehnička	Mostar	2017/2018	DL	Mostar	
16508	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/21/2018	M	2	Elektrotehnička	Sarajevo-Stari grad	2016/17	Redovan samofinansirajući	Sarajevo-Stari grad	
16575	P-220	7	5		1	2018/2019	1	NE	11/7/2018	M	1	Gimnazija	Gračanica	2014/15	DL	Doboj	
16577	P-220	7	7	10/1/2018	1	2018/2019	1	DA	11/8/2018	M	1	Gimnazija	Pale	2014/2015	DL	Sokolac	
16578	P-220	7	6	9/9/2019	1	2018/2019	1	NE	11/8/2018	M	1	Gimnazija	Sarajevo - Centar	2012/2013	DL	Sarajevo - Centar	
16585	P-220	7	7	1/31/2019	1	2018/2019	1	NE	11/14/2018	M	18	Medresa	Zvornik	2008/2009	DL	Zvornik	
16588	P-220	7	5		1	2018/2019	1	NE	11/14/2018	M	18	Medresa	Gračanica	2014/2015	DL	Gračanica	
16589	P-220	7	6	10/1/2018	1	2018/2019	1	DA	11/16/2018	M	2	Elektrotehnička	Sarajevo - Centar	2011/2012	DL	Sarajevo - Novi grad	
17590	P-220	7	6	2/14/2019	1	2018/2019	1	NE	11/19/2018	M	1	Gimnazija	Sarajevo - Centar	2004/05	DL	Sarajevo-Stari grad	
16510	P-220	7	8	1/31/2019	1	2018/2019	1	NE	9/24/2018	Ž	1	Gimnazija	Kakanj	2017/2018	Redovan samofinansirajući	Kakanj	
16511	P-220	7	7	8/26/2019	1	2018/2019	1	NE	9/24/2018	M	2	Elektrotehnička	Bugojno	2013/14	DL	Bugojno	
16516	P-220	7	6	1/31/2019	1	2018/2019	1	NE	9/25/2018	M	1	Gimnazija	Sarajevo - Centar	2017/2018	DL	Ilijaš	
16517	P-220	7	7	8/26/2019	1	2018/2019	1	NE	9/25/2018	Ž	1	Gimnazija	Konjic	2017/2018	DL	Konjic	
16518	P-220	7	5		1	2018/2019	1	NE	9/24/2018	Ž	1	Gimnazija	Zenica	2015/2016	DL	Zavidovići	
16519	P-220	7	priznato	1/14/2019	1	2018/2019	1	DA	9/25/2018	Ž	1	Gimnazija	Sarajevo - Centar	2015/2016	DL	Sarajevo - Novi grad	7/19/2022
16520	P-220	7	5		1	2018/2019	1	NE	9/26/2018	M	2	Elektrotehnička	Sarajevo - Centar	2013/2014	Vanredan	Sarajevo - Novi grad	
16521	P-220	7	6	2/14/2019	1	2018/2019	1	NE	9/25/2018	M	2	Elektrotehnička	Zavidovići	2012/2013	DL	Zavidovići	
16522	P-220	7	6	9/9/2019	1	2018/2019	1	NE	10/3/2018	Ž	4	Medicinska	Mostar	2017/2018	Vanredan	Mostar	
16523	P-220	7	5		1	2018/2019	1	NE	9/24/2018	M	6	Ekonomska	Ljubuški	2017/2018	Vanredan	Ljubuški	
16524	P-220	7	5		1	2018/2019	1	NE	9/25/2018	M	1	Gimnazija	Sarajevo - Centar	2017/2018	DL	Sarajevo - Novi grad	
16525	P-220	7	6	2/14/2019	1	2018/2019	1	NE	9/25/2018	M	1	Gimnazija	Banja Luka	2009/2010	DL	Ilidža	
16527	P-220	7	6	1/31/2019	1	2018/2019	1	NE	9/26/2018	M	2	Elektrotehnička	Sarajevo - Centar	2017/2018	DL	Ilidža	
16528	P-220	7	7	2/14/2019	1	2018/2019	1	NE	9/25/2018	M	8	Saobraćajna	Sarajevo - Centar	2014/2015	DL	Ilidža	
16529	P-220	7	6	2/14/2019	1	2018/2019	1	NE	9/26/2018	M	2	Elektrotehnička	Sarajevo - Centar	2016/2017	DL	Ilidža	2/4/2023
16530	P-220	7	5		1	2018/2019	1	NE	9/25/2018	M	1	Gimnazija	Sarajevo - Centar	2009/2010	DL	Sarajevo - Centar	
16531	P-220	7	6	1/31/2019	1	2018/2019	1	NE	9/26/2018	M	2	Elektrotehnička	Sarajevo - Centar	2017/2018	DL	Sarajevo - Novi grad	
16532	P-220	7	6	2/14/2019	1	2018/2019	1	NE	9/25/2018	M	2	Elektrotehnička	Sarajevo - Centar	2017/2018	DL	Sarajevo - Novi grad	
16533	P-220	7	7	8/26/2019	1	2018/2019	1	NE	10/4/2018	M	18	Medresa	Tuzla	2017/2018	DL	Gradačac	
16534	P-220	7	6	2/14/2019	1	2018/2019	1	NE	9/20/2018	M	1	Gimnazija	Sarajevo - Centar	2017/2018	DL	Sarajevo - Novi grad	
16535	P-220	7	7	2/14/2019	1	2018/2019	1	NE	9/24/2018	M	1	Gimnazija	Zenica	2017/2018	DL	Kakanj	9/6/2022
16536	P-220	7	6	2/14/2019	1	2018/2019	1	NE	9/26/2018	M	1	Gimnazija	Zenica	2017/2018	DL	Zenica	
16537	P-220	7	priznato	4/17/2019	1	2018/2019	1	DA	9/17/2018	M	2	Elektrotehnička	Tuzla	2011/2012	DL	Tuzla	
16574	P-220	7	6	10/1/2019	1	2020/2021	1	DA	11/7/2018	M	2	Elektrotehnička	Jablanica	2013/2014	DL	Mostar	
16320	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/17/2018	M	2	Elektrotehnička	Mostar	2017/2018	DL	Mostar	
16321	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/17/2018	M	2	Elektrotehnička	Sarajevo - Centar	2017/2018	DL	Ilidža	
16322	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/17/2018	M	3	Mašinska	Mostar	2017/2018	Redovan samofinansirajući	Mostar	
16323	P-220	7	8	1/31/2019	1	2018/2019	1	NE	7/17/2018	M	1	Gimnazija	Mostar	2017/2018	Redovan samofinansirajući	Mostar	2/17/2022
16324	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/17/2018	Ž	1	Gimnazija	Mostar	2017/2018	Redovan samofinansirajući	Mostar	
16325	P-220	7	6	2/14/2019	1	2018/2019	1	NE	7/17/2018	Ž	1	Gimnazija	Mostar	2017/2018	DL	Mostar	
16326	P-220	7	8	1/31/2019	1	2018/2019	1	NE	7/17/2018	M	1	Gimnazija	Mostar	2017/2018	Redovan samofinansirajući	Mostar	
16327	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/17/2018	Ž	1	Gimnazija	Mostar	2017/2018	DL	Mostar	5/11/2023
16328	P-220	7	7	2/14/2019	1	2018/2019	1	NE	7/17/2018	Ž	1	Gimnazija	Mostar	2017/2018	DL	Mostar	
16329	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/17/2018	M	1	Gimnazija	Mostar	2017/2018	DL	Mostar	9/10/2022
16330	P-220	7	5		1	2018/2019	1	NE	7/17/2018	M	23	Mješovita srednja škola	Travnik	2013/2014	DL	Novi Travnik	
16331	P-220	7	8	2/14/2019	1	2018/2019	1	NE	7/18/2018	M	4	Medicinska	Zenica	2017/2018	DL	Zenica	
16332	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/18/2018	M	2	Elektrotehnička	Mostar	2017/2018	DL	Mostar	6/30/2022
16333	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Cazin	2017/2018	Redovan samofinansirajući	Cazin	6/30/2022
16334	P-220	7	6	8/26/2019	1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Mostar	2017/2018	DL	Jablanica	
16335	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/18/2018	Ž	1	Gimnazija	Mostar	2017/2018	DL	Mostar	
16336	P-220	7	8	1/31/2019	1	2018/2019	1	NE	7/18/2018	Ž	1	Gimnazija	Mostar	2017/2018	Redovan samofinansirajući	Mostar	2/17/2022
16337	P-220	7	8	2/14/2019	1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Zenica	2017/2018	DL	Zenica	
16338	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/18/2018	M	6	Ekonomska	Mostar	2017/2018	Redovan samofinansirajući	Mostar	
16339	P-220	7	8	2/14/2019	1	2018/2019	1	NE	7/18/2018	Ž	2	Elektrotehnička	Visoko	2017/2018	Redovan samofinansirajući	Visoko	
16340	P-220	7	6	2/14/2019	1	2018/2019	1	NE	7/18/2018	Ž	6	Ekonomska	Sarajevo - Centar	2017/18	DL	Ilidža	
16341	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Mostar	2017/2018	Redovan samofinansirajući	Mostar	7/13/2023
16342	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Sarajevo - Centar	2017/2018	Vanredan	Ilidža	
16343	P-220	7	8	1/31/2019	1	2018/2019	1	NE	7/18/2018	M	18	Medresa	Gradačac	2017/18	DL	Gradačac	
16344	P-220	7	7	2/14/2019	1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Sjenica	2017/2018	DL	Ilidža	
16345	P-220	7	7	2/14/2019	1	2018/2019	1	NE	7/18/2018	Ž	13	Tehnička	Bugojno	2017/2018	Redovan samofinansirajući	Donji Vakuf	
16348	P-220	7	7	2/14/2019	1	2018/2019	1	NE	7/18/2018	M	13	Tehnička	Travnik	2017/2018	DL	Gornji Vakuf - Uskoplje	
16349	P-220	7	7	2/14/2019	1	2018/2019	1	NE	7/18/2018	M	13	Tehnička	Bugojno	2017/2018	DL	Bugojno	
16350	P-220	7	7	2/14/2019	1	2018/2019	1	NE	7/18/2018	M	18	Medresa	Tuzla	2017/18	DL	Tuzla	
16351	P-220	7	5		1	2018/2019	1	NE	7/18/2018	Ž	4	Medicinska	Mostar	2017/2018	DL	Mostar	
16352	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Mostar	2017/2018	DL	Mostar	
16353	P-220	7	7	2/14/2019	1	2018/2019	1	NE	7/18/2018	Ž	1	Gimnazija	Konjic	2017/2018	DL	Jablanica	
16354	P-220	7	6	2/14/2019	1	2018/2019	1	NE	7/18/2018	M	18	Medresa	Tuzla	2017/2018	DL	Živinice	
16355	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/19/2018	Ž	1	Gimnazija	Travnik	2017/18	DL	Donji Vakuf	
16356	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Goražde	2011/2012	Redovan samofinansirajući	Goražde	
16357	P-220	7	8	1/31/2019	1	2018/2019	1	NE	7/18/2018	M	13	Tehnička	Goražde	2017/2018	DL	Goražde	
16358	P-220	7	6	2/14/2019	1	2018/2019	1	NE	7/18/2018	Ž	18	Medresa	Zenica	2017/2018	DL	Tuzla	
16359	P-220	7	8	1/31/2019	1	2018/2019	1	NE	7/19/2018	M	1	Gimnazija	Sanski Most	2017/18	Redovan samofinansirajući	Sanski Most	
16360	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/18/2018	M	18	Medresa	Tuzla	2017/2018	DL	Tuzla	
16361	P-220	7	6	8/26/2019	1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Bugojno	2017/2018	DL	Bugojno	
16362	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Visoko	2017/2018	DL	Visoko	2/17/2022
16363	P-220	7	8	2/14/2019	1	2018/2019	1	NE	7/19/2018	M	1	Gimnazija	Ilidža	2017/18	DL	Ilidža	
16364	P-220	7	8	1/31/2019	1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Sarajevo - Centar	2017/2018	DL	Visoko	6/30/2022
16365	P-220	7	9	1/31/2019	1	2018/2019	1	NE	7/18/2018	Ž	6	Ekonomska	Mostar	2017/2018	Redovan samofinansirajući	Mostar	
16366	P-220	7	7	2/14/2019	1	2018/2019	1	NE	7/19/2018	M	3	Mašinska	Goražde	2017/18	Vanredan	Goražde	
16367	P-220	7	5		1	2018/2019	1	NE	7/18/2018	Ž	1	Gimnazija	Zenica	2017/2018	DL	Zavidovići	
16368	P-220	7	7	2/14/2019	1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Travnik	2017/2018	DL	Travnik	9/21/2023
16369	P-220	7	8	2/14/2019	1	2018/2019	1	NE	9/4/2018	M	25	Turističko ugostiteljska	Pale	2017/18	DL	Pale	
16370	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/18/2018	M	2	Elektrotehnička	Mostar	2017/2018	Redovan samofinansirajući	Mostar	
16371	P-220	7	7	2/14/2019	1	2018/2019	1	NE	7/18/2018	Ž	1	Gimnazija	Zenica	2017/2018	Redovan samofinansirajući	Zavidovići	
16372	P-220	7	5		1	2018/2019	1	NE	7/19/2018	M	13	Tehnička	Sarajevo - Centar	2016/17	Vanredan	Sarajevo - Centar	
16374	P-220	7	8	2/14/2019	1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Mostar	2017/2018	DL	Mostar	
16375	P-220	7	8	1/31/2019	1	2018/2019	1	NE	9/4/2018	M	1	Gimnazija	Zenica	2017/18	DL	Kakanj	
16376	P-220	7	5		1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Vareš	2017/2018	DL	Vareš	
16377	P-220	7	5		1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Zvornik	2017/2018	DL	Vareš	
16378	P-220	7	7	8/26/2019	1	2018/2019	1	NE	7/18/2018	M	1	Gimnazija	Vareš	2017/2018	DL	Vareš	
16379	P-220	7	8	1/31/2019	1	2018/2019	1	NE	7/18/2018	M	2	Elektrotehnička	Sarajevo - Centar	2017/2018	DL	Visoko	
