studentId	Predmet	BrojKredita	Ocjene	PolozioDatum	Godina	SkolskaGodina	Semestar	Priznat	DatumUpisa	Spol	ZavrsenaSkolaId	SrednjaSkola	OpstinaRodjenja	GodinaZavrsetka	NacinStudiranja	OpstinaPrebivalista	Diplomirao
16587	P-143	2	5		1	2018/2019	1	0	11/14/2018	M	23	Mješovita srednja škola	Sarajevo - Centar	1999/2000	DL	Sarajevo - Centar	0
16579	P-143	2	6	10/1/2018	1	2018/2019	1	1	11/8/2018	M	1	Gimnazija	Sarajevo - Centar	2010/2011	DL	Sarajevo - Novi grad	1
16584	P-143	2	7	10/1/2018	1	2018/2019	1	1	11/9/2018	M	13	Tehnička	Zenica	2010/11	DL	Zenica	0
16583	P-143	2	9	10/1/2018	1	2018/2019	1	1	11/9/2018	M	13	Tehnička	Bugojno	2012/13	DL	Gornji Vakuf - Uskoplje	0
16582	P-143	2	6	10/1/2018	1	2018/2019	1	1	11/9/2018	M	3	Mašinska	Doboj	2002/03	DL	Sarajevo-Novo Sarajevo	0
16581	P-143	2	6	10/1/2018	1	2018/2019	1	1	11/9/2018	M	2	Elektrotehnička	Mostar	2008/09	DL	Mostar	0
16580	P-143	2	6	10/1/2018	1	2018/2019	1	1	11/9/2018	M	2	Elektrotehnička	Mostar	2012/13	DL	Mostar	0
16576	P-143	2	7	10/1/2018	1	2018/2019	1	1	11/7/2018	M	1	Gimnazija	Mostar	2006/2007	DL	Mostar	0
16573	P-143	2	7	10/1/2018	1	2018/2019	1	1	11/7/2018	Ž	1	Gimnazija	Mostar	2010/2011	DL	Bugojno	0
16570	P-143	2	6	10/1/2018	1	2018/2019	1	1	11/7/2018	M	13	Tehnička	Banovići	2008/09	DL	Mostar	0
16572	P-143	2	8	10/1/2018	1	2018/2019	1	1	11/7/2018	M	1	Gimnazija	Bihać	2010/2011	DL	Sarajevo - Centar	0
16571	P-143	2	7	12/11/2017	1	2018/2019	1	1	11/7/2018	M	10	Katolički školski centar	Zenica	2007/08	DL	Mostar	0
16509	P-220	7	8	1/31/2019	1	2018/2019	1	0	7/20/2018	M	1	Gimnazija	Bugojno	2017/18	Redovan samofinansirajući	Jajce	0
16502	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/21/2018	M	1	Gimnazija	Sarajevo - Centar	2017/18	DL	Breza	0
16503	P-220	7	9	1/31/2019	1	2018/2019	1	0	7/21/2018	M	1	Gimnazija	Banja Luka	1999/2000	DL	Sarajevo - Novi grad	0
16504	P-220	7	5		1	2018/2019	1	0	7/21/2018	M	4	Medicinska	Zenica	2008/2009	DL	Zenica	0
16505	P-220	7	5		1	2018/2019	1	0	7/21/2018	M	6	Ekonomska	Travnik	2017/18	DL	Jajce	0
16506	P-220	7	7	2/14/2019	1	2018/2019	1	0	7/21/2018	M	1	Gimnazija	Travnik	2016/2017	Vanredan	Jajce	0
16507	P-220	7	5		1	2018/2019	1	0	7/21/2018	M	2	Elektrotehnička	Mostar	2017/2018	DL	Mostar	0
16508	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/21/2018	M	2	Elektrotehnička	Sarajevo-Stari grad	2016/17	Redovan samofinansirajući	Sarajevo-Stari grad	0
16575	P-220	7	5		1	2018/2019	1	0	11/7/2018	M	1	Gimnazija	Gračanica	2014/15	DL	Doboj	0
16577	P-220	7	7	10/1/2018	1	2018/2019	1	1	11/8/2018	M	1	Gimnazija	Pale	2014/2015	DL	Sokolac	0
16578	P-220	7	6	9/9/2019	1	2018/2019	1	0	11/8/2018	M	1	Gimnazija	Sarajevo - Centar	2012/2013	DL	Sarajevo - Centar	0
16585	P-220	7	7	1/31/2019	1	2018/2019	1	0	11/14/2018	M	18	Medresa	Zvornik	2008/2009	DL	Zvornik	0
16588	P-220	7	5		1	2018/2019	1	0	11/14/2018	M	18	Medresa	Gračanica	2014/2015	DL	Gračanica	0
16589	P-220	7	6	10/1/2018	1	2018/2019	1	1	11/16/2018	M	2	Elektrotehnička	Sarajevo - Centar	2011/2012	DL	Sarajevo - Novi grad	0
17590	P-220	7	6	2/14/2019	1	2018/2019	1	0	11/19/2018	M	1	Gimnazija	Sarajevo - Centar	2004/05	DL	Sarajevo-Stari grad	0
16510	P-220	7	8	1/31/2019	1	2018/2019	1	0	9/24/2018	Ž	1	Gimnazija	Kakanj	2017/2018	Redovan samofinansirajući	Kakanj	0
16511	P-220	7	7	8/26/2019	1	2018/2019	1	0	9/24/2018	M	2	Elektrotehnička	Bugojno	2013/14	DL	Bugojno	0
16516	P-220	7	6	1/31/2019	1	2018/2019	1	0	9/25/2018	M	1	Gimnazija	Sarajevo - Centar	2017/2018	DL	Ilijaš	0
16517	P-220	7	7	8/26/2019	1	2018/2019	1	0	9/25/2018	Ž	1	Gimnazija	Konjic	2017/2018	DL	Konjic	0
16518	P-220	7	5		1	2018/2019	1	0	9/24/2018	Ž	1	Gimnazija	Zenica	2015/2016	DL	Zavidovići	0
16519	P-220	7	7	1/14/2019	1	2018/2019	1	1	9/25/2018	Ž	1	Gimnazija	Sarajevo - Centar	2015/2016	DL	Sarajevo - Novi grad	1
16520	P-220	7	5		1	2018/2019	1	0	9/26/2018	M	2	Elektrotehnička	Sarajevo - Centar	2013/2014	Vanredan	Sarajevo - Novi grad	0
